,Year,MSRP,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Front Hip Room (in),Front Leg Room (in),Second Shoulder Room (in),Second Head Room (in),Front Shoulder Room (in),Front Head Room (in),Second Leg Room (in),Wheelbase (in),"Width, Max w/o mirrors (in)","Height, Overall (in)","Fuel Tank Capacity, Approx (gal)",EPA Fuel Economy Est - City (MPG),EPA Fuel Economy Est - Hwy (MPG),Fuel System,First Gear Ratio (:1),Fourth Gear Ratio (:1),Second Gear Ratio (:1),Reverse Ratio (:1),Fifth Gear Ratio (:1),Trans Type,Third Gear Ratio (:1),Steering Type,Turning Diameter - Curb to Curb,Front Wheel Material,Suspension Type - Front,Suspension Type - Rear,Air Bag-Frontal-Driver,Air Bag-Frontal-Passenger,Air Bag-Passenger Switch (On/Off),Air Bag-Side Body-Front,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Brakes-ABS,Child Safety Rear Door Locks,Daytime Running Lights,Traction Control,Night Vision,Rollover Protection Bars,Fog Lamps,Parking Aid,Tire Pressure Monitor,Back-Up Camera,Stability Control,Basic Miles/km,Basic Years,Corrosion Miles/km,Corrosion Years,Drivetrain Miles/km,Drivetrain Years,Roadside Assistance Miles/km,Roadside Assistance Years,Maximum Alternator Capacity (amps),Gear,Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Engine Configuration,Engine Class,Displacement (L),Displacement (cc),Rear Tire Width,Front Tire Width,Rear Wheel Size,Front Wheel Size,Tire Rating,Tire Width Ratio,Wheel Size Ratio,Tire Ratio,Make
20,2015,36495.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,19.0,27.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
21,2015,38795.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,20.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
22,2015,35095.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,20.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
23,2015,40195.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,19.0,27.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
24,2014,35920.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,19.0,27.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
25,2014,38220.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,20.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
26,2014,34520.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,20.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
27,2014,39620.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16.0,19.0,27.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,273.0,6200.0,251.0,5000.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
28,2009,33895.0,All Wheel Drive,5,4,Sport Utility,54.4,41.8,56.3,38.3,58.2,38.7,37.7,104.3,73.6,65.2,18.0,17.0,22.0,PGM-FI,2.7,0.77,1.61,1.89,0.61,5,1.07,Variable Pwr Rack & Pinion,39.2,Alloy,Independent,Independent,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,105,5.0,240.0,6000.0,260.0,4500.0,4.0,I,Gas,2.3,140.0,235.0,235.0,18.0,18.0,NA,1.0,1.0,5.0,Acura
29,2009,37195.0,All Wheel Drive,5,4,Sport Utility,54.4,41.8,56.3,38.3,58.2,38.7,37.7,104.3,73.6,65.2,18.0,17.0,22.0,PGM-FI,2.7,0.77,1.61,1.89,0.61,5,1.07,Variable Pwr Rack & Pinion,39.2,Alloy,Independent,Independent,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,105,5.0,240.0,6000.0,260.0,4500.0,4.0,I,Gas,2.3,140.0,235.0,235.0,18.0,18.0,NA,1.0,1.0,5.0,Acura
